,id,outage,left,top,right,bottom,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_NODATA
13353,112645,29.485166104857086,2159340,-228750,2159840,-229250,0.0,38.062283737024224,8.650519031141869,9.342560553633218,0.0,0.0,0.0,0.0,0.0,43.944636678200695,0.0,0.0
13355,57874,29.47368421052631,2108340,-128250,2108840,-128750,0.0,0.0,19.72318339100346,1.0380622837370241,0.0,0.0,0.0,0.6920415224913495,0.0,78.54671280276817,0.0,0.0
13356,93663,29.47368421052631,2141840,-100250,2142340,-100750,0.0,0.0,2.734375,1.5625,0.0,0.0,5.078125,0.0,0.0,90.625,0.0,0.0
13357,102426,29.462620941505275,2149840,-201750,2150340,-202250,0.0,0.0,8.304498269896193,2.0761245674740483,0.0,0.0,16.955017301038062,0.0,0.0,72.66435986159169,0.0,0.0
13358,51468,29.44381828087742,2102340,-135250,2102840,-135750,0.0,0.0,53.979238754325266,0.34602076124567477,0.0,0.0,18.33910034602076,0.0,0.0,27.33564013840831,0.0,0.0
13360,98519,29.43422367116741,2146340,-120750,2146840,-121250,0.0,0.0,0.0,0.0,0.0,0.0,37.86764705882353,0.0,0.0,1.4705882352941175,60.66176470588235,0.0
13361,48170,29.43282943433977,2099340,-91250,2099840,-91750,0.0,0.0,18.38235294117647,0.0,0.0,0.0,8.088235294117647,63.970588235294116,0.0,9.558823529411764,0.0,0.0
13364,25219,29.411764705882355,2077840,-118250,2078340,-118750,0.0,0.0,40.80882352941176,2.2058823529411766,0.0,1.8382352941176472,2.2058823529411766,33.088235294117645,1.8382352941176472,18.014705882352942,0.0,0.0
13365,36794,29.411764705882355,2088340,-288250,2088840,-288750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.19377162629758,0.0,3.8062283737024223,0.0,0.0
13366,89647,29.411764705882355,2137840,-232250,2138340,-232750,0.0,29.411764705882355,42.279411764705884,17.27941176470588,0.0,0.0,7.352941176470589,0.0,0.0,3.6764705882352944,0.0,0.0
13368,92880,29.411764705882355,2140840,-243750,2141340,-244250,0.0,1.0380622837370241,0.0,0.0,0.0,0.0,98.6159169550173,0.0,0.0,0.34602076124567477,0.0,0.0
13369,94965,29.411764705882355,2142840,-216250,2143340,-216750,0.0,5.88235294117647,36.67820069204152,13.148788927335639,0.0,0.0,0.0,0.0,0.6920415224913495,43.59861591695502,0.0,0.0
13371,45649,29.41072384388398,2096840,-168250,2097340,-168750,0.0,0.0,49.26470588235294,4.411764705882353,0.0,0.0,0.0,0.0,0.0,46.32352941176471,0.0,0.0
13372,119648,29.4033637322741,2165840,-252750,2166340,-253250,0.0,0.0,0.0,0.0,0.0,0.0,95.22058823529412,0.0,0.0,4.779411764705882,0.0,0.0
13373,59480,29.40313905750082,2109840,-128750,2110340,-129250,0.0,0.0,22.426470588235293,1.1029411764705883,0.0,0.0,0.0,0.0,0.0,76.47058823529412,0.0,0.0
13374,108320,29.402515723270444,2155340,-206250,2155840,-206750,0.0,6.985294117647059,0.0,9.926470588235293,0.0,0.0,19.485294117647058,0.0,0.0,63.60294117647059,0.0,0.0
13375,35392,29.390410604530505,2087340,-122250,2087840,-122750,0.0,0.0,32.8719723183391,0.0,0.0,0.0,52.24913494809689,9.688581314878892,0.0,3.4602076124567476,1.7301038062283738,0.0
13376,36479,29.383886255924175,2088340,-130750,2088840,-131250,0.0,0.0,54.67128027681662,0.0,0.0,0.0,15.570934256055363,1.0380622837370241,0.0,28.719723183391004,0.0,0.0
13377,55755,29.37078257089517,2106340,-138750,2106840,-139250,0.0,0.0,49.48096885813148,16.26297577854671,0.0,0.0,8.996539792387544,2.0761245674740483,0.0,23.18339100346021,0.0,0.0
13378,116412,29.343617540057675,2162840,-239750,2163340,-240250,0.0,2.34375,33.984375,25.0,0.0,0.0,0.0,0.0,0.0,38.671875,0.0,0.0
13379,49357,29.342530622748004,2100340,-149750,2100840,-150250,0.0,0.0,23.161764705882355,0.7352941176470588,0.0,0.0,4.411764705882353,0.0,0.0,71.69117647058823,0.0,0.0
13380,117421,29.330708661417322,2163840,-209250,2164340,-209750,0.0,0.0,0.0,0.0,0.0,0.0,14.186851211072666,0.0,0.0,85.81314878892734,0.0,0.0
13381,82427,29.32128136965379,2131340,-99750,2131840,-100250,0.0,0.0,9.191176470588236,0.0,0.0,0.0,2.2058823529411766,0.0,0.0,78.30882352941177,10.294117647058822,0.0
13382,60914,29.311744593227058,2110840,-310750,2111340,-311250,0.0,0.0,70.24221453287197,21.453287197231834,0.0,0.0,1.7301038062283738,0.0,0.0,6.5743944636678195,0.0,0.0
13383,119630,29.30834303718038,2165840,-243750,2166340,-244250,0.0,0.0,6.61764705882353,12.5,0.0,0.0,0.0,0.0,0.0,80.88235294117648,0.0,0.0
13384,105254,29.30232558139535,2152340,-278250,2152840,-278750,0.0,0.0,2.2058823529411766,37.5,0.0,0.0,32.720588235294116,0.0,0.0,27.573529411764707,0.0,0.0
13385,120652,29.301730969668228,2166840,-219750,2167340,-220250,9.342560553633218,0.0,0.0,0.0,0.0,0.0,4.844290657439446,0.0,0.0,47.05882352941176,0.0,38.75432525951557
13386,60378,29.287322458278403,2110340,-310250,2110840,-310750,0.0,8.59375,14.84375,22.65625,0.0,0.0,44.921875,0.0,0.0,8.984375,0.0,0.0
13387,8748,29.267938142586775,2062340,-175250,2062840,-175750,0.0,0.0,45.3125,0.0,3.90625,0.0,0.0,34.375,0.0,16.40625,0.0,0.0
13389,53929,29.25956237488373,2104340,-295750,2104840,-296250,0.0,0.0,11.397058823529411,1.4705882352941175,0.0,0.0,0.0,58.45588235294118,0.0,28.676470588235293,0.0,0.0
13390,109413,29.239766081871355,2156340,-217750,2156840,-218250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13391,117427,29.239151122012608,2163840,-212250,2164340,-212750,0.0,13.84083044982699,0.0,0.0,0.0,0.0,75.4325259515571,0.0,0.0,10.726643598615917,0.0,0.0
13392,21300,29.23551152479441,2073840,-298750,2074340,-299250,0.0,0.0,2.422145328719723,0.0,0.0,0.0,37.37024221453287,44.29065743944637,0.0,13.494809688581316,2.422145328719723,0.0
13393,64278,29.230769230769237,2114340,-120250,2114840,-120750,0.0,0.0,74.0484429065744,0.0,0.0,0.0,6.920415224913495,0.0,0.0,19.031141868512112,0.0,0.0
13394,120618,29.229093558813947,2166840,-202750,2167340,-203250,0.0,0.0,0.0,0.0,0.0,0.0,16.955017301038062,0.0,0.0,64.01384083044984,19.031141868512112,0.0
13395,121761,29.22799581445333,2167840,-239250,2168340,-239750,0.0,0.0,0.0,0.0,0.0,0.0,6.5743944636678195,0.0,0.0,93.42560553633218,0.0,0.0
13396,85667,29.225993696365137,2134340,-114750,2134840,-115250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
