,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,Vmax,nightlight_prev,outage,Rainfall
20084,0.0,1.7301038062283738,13.494809688581316,62.9757785467128,0.0,0.0,0.34602076124567477,0.6920415224913495,0.0,20.761245674740483,0.0,49.41542419778457,3.22285624016903,3.6425217464472768,77.61602
20085,0.0,0.0,6.25,4.779411764705882,0.0,0.0,0.0,0.0,0.0,88.97058823529412,0.0,49.42253081423003,16.5057764657358,40.62684648405522,77.61602
20086,0.0,0.0,1.7301038062283738,0.0,0.0,0.0,0.0,3.1141868512110724,0.0,95.15570934256056,0.0,49.43644892740374,33.2832304086795,1.6761358427027058,77.61602
20089,0.0,2.0761245674740483,13.148788927335639,2.0761245674740483,0.0,2.422145328719723,41.17647058823529,0.0,0.0,39.10034602076124,0.0,49.49019254003681,5.84858796820646,22.2842098189356,77.61602
20090,0.0,1.8382352941176472,24.63235294117647,3.6764705882352944,0.0,0.0,69.85294117647058,0.0,0.0,0.0,0.0,49.496692005326935,4.15,32.530120481927725,77.61602
20091,0.0,1.0380622837370241,14.878892733564014,6.5743944636678195,0.0,0.0,77.50865051903114,0.0,0.0,0.0,0.0,49.5030850619902,2.05023371922347,29.768038070431203,77.61602
20094,0.0,0.0,5.88235294117647,12.802768166089965,4.1522491349480966,0.0,36.67820069204152,0.0,0.0,40.484429065743946,0.0,49.55167949267156,3.67787902758555,19.108575653358756,46.35688
20095,0.0,3.8062283737024223,3.4602076124567476,12.802768166089965,1.7301038062283738,0.0,0.0,0.0,0.0,78.20069204152249,0.0,49.55763395100378,4.05,6.17283950617284,46.35688
20097,0.0,0.0,7.612456747404845,4.844290657439446,7.958477508650519,0.0,0.0,0.0,0.0,79.58477508650519,0.0,49.61733912308675,6.77895267925169,59.117986316092356,46.35688
20098,0.0,0.0,0.0,2.5735294117647056,0.0,0.0,0.0,1.8382352941176472,0.0,95.58823529411765,0.0,49.62247005823971,5.7,57.01754385964912,46.35688
20099,0.0,0.0,3.8062283737024223,3.1141868512110724,0.0,0.0,0.0,5.190311418685121,0.0,87.88927335640139,0.0,49.627477544984906,4.7,32.97872340425532,46.35688
20100,0.0,0.0,28.719723183391004,8.304498269896193,1.7301038062283738,1.384083044982699,2.422145328719723,15.22491349480969,0.0,42.21453287197232,0.0,49.6550108927777,2.10405027503485,79.99240616614239,46.35688
20101,0.0,2.5735294117647056,21.691176470588236,23.897058823529413,6.61764705882353,7.352941176470589,34.55882352941176,2.941176470588235,0.0,0.3676470588235294,0.0,49.65976795569564,1.5,66.66666666666666,46.35688
20102,0.0,0.0,12.45674740484429,24.91349480968858,0.0,0.0,48.44290657439446,0.0,0.0,14.186851211072666,0.0,49.664397348916566,1.16683616513896,38.726513480191684,46.35688
20103,0.0,0.0,0.0,3.8062283737024223,2.0761245674740483,0.0,72.31833910034602,0.0,0.0,21.79930795847751,0.0,49.66889764259064,1.2,41.66666666666667,46.35688
20104,0.0,1.8382352941176472,0.0,0.3676470588235294,0.0,0.0,68.75,13.970588235294118,0.0,15.073529411764705,0.0,49.67326747756202,1.5,33.33333333333333,46.35688
20105,0.0,1.384083044982699,0.0,0.0,0.0,0.0,91.6955017301038,6.920415224913495,0.0,0.0,0.0,49.69629348917546,0.922952353273588,97.74604571691293,46.35688
20106,0.0,0.0,3.1141868512110724,1.384083044982699,0.0,0.0,87.5432525951557,0.0,0.0,7.958477508650519,0.0,49.70039871569395,0.9,94.44444444444444,46.35688
20107,0.0,0.0,0.0,0.7352941176470588,0.0,0.0,93.01470588235294,0.0,0.0,6.25,0.0,49.70436932296003,0.653499567033054,60.18748174769436,46.35688
20108,0.0,0.0,0.0,0.0,0.0,0.0,70.93425605536332,0.0,0.0,2.768166089965398,2.422145328719723,49.70820392400484,0.25,100.0,46.35688
20111,0.0,0.0,0.0,0.0,0.0,0.0,8.304498269896193,0.0,0.0,0.0,0.0,49.71887814984197,0.256644641548094,19.999999999999694,46.35688
20117,0.0,0.0,0.0,0.0,0.0,0.0,99.65397923875432,0.0,0.0,0.0,0.34602076124567477,49.751195955590745,0.0330201132385636,0.9718604083047674,87.22691
20118,0.0,0.0,0.0,5.88235294117647,0.0,0.0,92.04152249134948,0.0,0.0,0.0,2.0761245674740483,49.7535973056063,0.5,40.0,87.22691
20119,0.0,0.0,0.0,8.088235294117647,0.0,0.0,68.01470588235294,0.0,0.0,1.1029411764705883,22.794117647058822,49.75584816541208,0.561717189635845,40.04169438108078,87.22691
20122,0.0,0.0,3.308823529411765,1.1029411764705883,0.0,3.308823529411765,76.83823529411765,15.441176470588236,0.0,0.0,0.0,49.76168528659068,0.58180322319789,31.248232383211267,87.22691
20123,0.0,0.0,7.26643598615917,0.0,0.0,0.0,70.24221453287197,14.53287197231834,0.0,7.958477508650519,0.0,49.76332175786213,0.75,33.33333333333333,87.22691
20124,0.0,0.0,2.0761245674740483,0.0,0.0,0.0,97.92387543252595,0.0,0.0,0.0,0.0,49.76480160930679,0.98972565219962,44.30001889751276,87.22691
20125,0.0,0.0,4.044117647058823,0.3676470588235294,0.0,0.0,76.47058823529412,0.0,0.0,19.11764705882353,0.0,49.77687175973929,1.5,64.93770296442233,87.22691
20127,0.0,0.0,3.1141868512110724,9.342560553633218,2.422145328719723,0.0,49.82698961937716,0.0,0.0,35.294117647058826,0.0,49.77903791911741,2.50272796907357,40.98906072029575,87.22691
20128,0.0,0.0,2.941176470588235,37.5,4.411764705882353,0.0,21.323529411764707,0.0,0.0,33.82352941176471,0.0,49.7798796554864,2.05,39.02439024390244,87.22691
20129,0.0,0.0,4.844290657439446,43.25259515570934,0.0,0.0,5.536332179930796,5.88235294117647,0.0,40.484429065743946,0.0,49.78055900342091,2.55617543278024,27.45710607141219,87.22691
20130,0.0,5.190311418685121,5.190311418685121,12.802768166089965,0.0,0.0,0.0,3.4602076124567476,0.0,65.39792387543253,7.958477508650519,49.78107485864581,4.10823374025246,10.18547901111721,87.22691
20132,0.0,4.498269896193772,5.190311418685121,4.1522491349480966,1.7301038062283738,0.0,1.0380622837370241,0.0,0.0,83.39100346020761,0.0,49.781611781138565,3.47004263045203,1.719114150035932,87.22691
20135,0.0,10.034602076124568,0.0,1.0380622837370241,0.0,0.0,17.301038062283737,6.5743944636678195,0.0,65.05190311418684,0.0,49.78773008225246,5.22507638179655,28.35945978826377,87.22691
20137,0.0,0.0,0.0,0.0,0.0,0.0,90.80882352941177,0.0,0.0,9.191176470588236,0.0,49.78658501652546,1.86835916918168,43.95198511420895,84.39162
20138,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,49.7857555263857,3.15,79.36507936507937,84.39162
20139,0.0,0.0,0.0,0.0,0.0,0.0,98.96193771626297,0.0,0.0,0.0,1.0380622837370241,49.78475349377653,2.60490576387487,85.22866057744216,84.39162
20140,0.0,0.0,0.0,0.0,0.0,0.0,20.22058823529412,0.0,0.0,0.0,79.77941176470588,49.78357801818912,0.625650819323745,89.36469346010355,84.39162
20142,0.0,0.0,0.0,0.0,0.0,0.0,70.58823529411765,0.0,0.0,0.0,29.411764705882355,49.78070325842583,0.702922104989115,0.4157082226287788,84.39162
20143,2.941176470588235,0.0,0.0,0.0,0.0,0.0,94.85294117647058,0.0,0.0,0.0,2.2058823529411766,49.767330850820855,0.25,4.005939103364398,84.39162
20144,1.384083044982699,0.0,0.0,0.0,0.0,0.0,96.88581314878893,0.0,0.0,0.0,1.7301038062283738,49.76437662793459,0.521405502023717,83.3088605907384,84.39162
20145,42.90657439446367,0.0,0.0,0.0,0.0,0.0,57.09342560553633,0.0,0.0,0.0,0.0,49.76124065940324,0.55,72.72727272727273,84.39162
